p,n1,n2,N,alpha,u,observed_E_p_rank,conjectured_E_p_rank
3,100,30,500,0.300000,0.500000,7.18734088880000e7,2.00000000000000
3,100,40,500,0.400000,0.500000,1110.18400000000,2.00000000000000
3,100,70,500,0.700000,0.500000,2.01600000000000,2.00000000000000
3,100,70,500,0.700000,0.200000,2.01200000000000,2.00000000000000
3,100,70,500,0.700000,0.800000,2.04000000000000,2.00000000000000
