p,n1,n2,N,alpha,u,rank,count,frequency,conjectured_prob_rank_directed
3,30,13,100,0.450000,0.500000,0,41,0.41,0.8401891168919234
3,30,13,100,0.450000,0.500000,1,45,0.45,0.15753545941723565
3,30,13,100,0.450000,0.500000,2,8,0.08,0.0022721460492870524
3,30,13,100,0.450000,0.500000,3,3,0.03,3.277133724933249e-06
3,30,13,100,0.450000,0.500000,4,3,0.03,5.078203086156894e-10
3,30,18,100,0.600000,0.500000,0,50,0.5,0.8401891168919234
3,30,18,100,0.600000,0.500000,1,48,0.48,0.15753545941723565
3,30,18,100,0.600000,0.500000,2,1,0.01,0.0022721460492870524
3,30,18,100,0.600000,0.500000,3,1,0.01,3.277133724933249e-06
3,30,24,100,0.800000,0.500000,0,62,0.62,0.8401891168919234
3,30,24,100,0.800000,0.500000,1,35,0.35,0.15753545941723565
3,30,24,100,0.800000,0.500000,2,3,0.03,0.0022721460492870524
3,30,21,100,0.700000,0.200000,0,48,0.48,0.8401891168919234
3,30,21,100,0.700000,0.200000,1,48,0.48,0.15753545941723565
3,30,21,100,0.700000,0.200000,2,4,0.04,0.0022721460492870524
3,30,21,100,0.700000,0.800000,0,46,0.46,0.8401891168919234
3,30,21,100,0.700000,0.800000,1,52,0.52,0.15753545941723565
3,30,21,100,0.700000,0.800000,2,2,0.02,0.0022721460492870524
