p,n1,n2,N,alpha,u,observed_E_p_rank,conjectured_E_p_rank_directed
3,30,13,100,0.450000,0.500000,5.72000000000000,1.33333333333333
3,30,18,100,0.600000,0.500000,2.30000000000000,1.33333333333333
3,30,24,100,0.800000,0.500000,1.94000000000000,1.33333333333333
3,30,21,100,0.700000,0.200000,2.28000000000000,1.33333333333333
3,30,21,100,0.700000,0.800000,2.20000000000000,1.33333333333333
