p,n1,n2,N,alpha,u,partition,count,frequency,conjectured_prob_P_infty_q
3,100,30,500,0.300000,0.500000,"[1,1,1,1]",31,0.062,4.275443650917134e-10
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1,1]",1,0.002,2.8641383117500986e-44
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1]",25,0.05,2.8655084869638243e-27
3,100,30,500,0.300000,0.500000,[],95,0.19,0.8401891168919234
3,100,30,500,0.300000,0.500000,"[1,1]",40,0.08,0.0019448822150276005
3,100,30,500,0.300000,0.500000,[1],52,0.104,0.14003151948198725
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1]",14,0.028,1.5706680525367827e-63
3,100,30,500,0.300000,0.500000,"[1,1,1]",45,0.09,2.770487485794303e-06
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1]",36,0.072,1.3699371395323886e-20
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1]",10,0.02,5.561284515782404e-75
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1]",31,0.062,7.27042079195513e-15
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1]",11,0.022,4.928894954347522e-53
3,100,30,500,0.300000,0.500000,[2],11,0.022,0.015559057720220804
3,100,30,500,0.300000,0.500000,"[5,1,1,1,1,1,1,1,1,1]",1,0.002,1.1268430459713467e-56
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1]",14,0.028,6.657755191811146e-35
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1]",22,0.044,1.7185702994668386e-43
3,100,30,500,0.300000,0.500000,"[3,1,1]",2,0.004,4.940512663282021e-08
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1]",12,0.024,2.187876300150686e-87
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1]",4,0.008,2.280096565111063e-21
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",5,0.01,4.6450469842520455e-115
3,100,30,500,0.300000,0.500000,"[2,1,1,1]",7,0.014,7.037767326612567e-11
3,100,30,500,0.300000,0.500000,"[3,1,1,1,1]",1,0.002,1.3408335860792116e-16
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1]",6,0.012,1.2067502274712905e-15
3,100,30,500,0.300000,0.500000,"[2,1,1]",2,0.004,4.4464613969538194e-07
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1]",2,0.004,1.1094567407986872e-35
3,100,30,500,0.300000,0.500000,"[3,2,1,1,1]",1,0.002,2.4523705278083433e-18
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,0.002,1.5030980561449337e-146
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1,1,1]",4,0.008,8.214685805131119e-54
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2,0.004,9.563739155691417e-101
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,0.002,6.0976750498715554e-201
3,100,30,500,0.300000,0.500000,"[3,1]",2,0.004,3.20145220580675e-05
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1]",2,0.004,4.773663734570127e-28
3,100,30,500,0.300000,0.500000,"[3,1,1,1]",1,0.002,7.819741474013962e-12
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,0.002,7.741744434217891e-116
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1]",1,0.002,2.617765310116089e-64
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1,1]",2,0.004,3.646458213098226e-88
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,0.002,1.5939561926918566e-101
3,100,30,500,0.300000,0.500000,"[4,1,1,1,1,1,1,1,1]",1,0.002,3.535973224382838e-46
3,100,40,500,0.400000,0.500000,[],391,0.782,0.8401891168919234
3,100,40,500,0.400000,0.500000,[1],78,0.156,0.14003151948198725
3,100,40,500,0.400000,0.500000,"[1,1]",8,0.016,0.0019448822150276005
3,100,40,500,0.400000,0.500000,"[1,1,1]",5,0.01,2.770487485794303e-06
3,100,40,500,0.400000,0.500000,[2],6,0.012,0.015559057720220804
3,100,40,500,0.400000,0.500000,"[1,1,1,1,1,1,1]",1,0.002,2.8655084869638243e-27
3,100,40,500,0.400000,0.500000,"[2,1]",4,0.008,0.0002881306985226075
3,100,40,500,0.400000,0.500000,"[1,1,1,1]",2,0.004,4.275443650917134e-10
3,100,40,500,0.400000,0.500000,"[1,1,1,1,1]",2,0.004,7.27042079195513e-15
3,100,40,500,0.400000,0.500000,"[2,1,1,1,1]",1,0.002,1.2067502274712905e-15
3,100,40,500,0.400000,0.500000,[3],1,0.002,0.001728784191135645
3,100,40,500,0.400000,0.500000,"[1,1,1,1,1,1,1,1]",1,0.002,6.657755191811146e-35
3,100,70,500,0.700000,0.500000,[],407,0.814,0.8401891168919234
3,100,70,500,0.700000,0.500000,[1],83,0.166,0.14003151948198725
3,100,70,500,0.700000,0.500000,[2],5,0.01,0.015559057720220804
3,100,70,500,0.700000,0.500000,"[1,1]",3,0.006,0.0019448822150276005
3,100,70,500,0.700000,0.500000,[3],2,0.004,0.001728784191135645
3,100,70,500,0.700000,0.200000,[],424,0.848,0.8401891168919234
3,100,70,500,0.700000,0.200000,[1],69,0.138,0.14003151948198725
3,100,70,500,0.700000,0.200000,[2],6,0.012,0.015559057720220804
3,100,70,500,0.700000,0.200000,[3],1,0.002,0.001728784191135645
3,100,70,500,0.700000,0.800000,[],418,0.836,0.8401891168919234
3,100,70,500,0.700000,0.800000,[1],77,0.154,0.14003151948198725
3,100,70,500,0.700000,0.800000,[4],1,0.002,0.000192087132348405
3,100,70,500,0.700000,0.800000,[3],1,0.002,0.001728784191135645
3,100,70,500,0.700000,0.800000,[2],2,0.004,0.015559057720220804
3,100,70,500,0.700000,0.800000,"[1,1]",1,0.002,0.0019448822150276005
