p,n1,n2,N,alpha,u,observed_E_p_rank,conjectured_E_p_rank_directed
2,100,45,500,0.450000,0.500000,539634.916000000,1.50000000000000
2,100,60,500,0.600000,0.500000,1.72000000000000,1.50000000000000
2,100,80,500,0.800000,0.500000,1.46400000000000,1.50000000000000
2,100,70,500,0.700000,0.200000,1.53800000000000,1.50000000000000
2,100,70,500,0.700000,0.800000,1.46000000000000,1.50000000000000
