p,n1,n2,N,alpha,u,rank,count,frequency,conjectured_prob_rank_directed
2,100,45,500,0.450000,0.500000,0,32,0.064,0.5775761901732048
2,100,45,500,0.450000,0.500000,1,67,0.134,0.3850507934488032
2,100,45,500,0.450000,0.500000,2,41,0.082,0.03667150413798126
2,100,45,500,0.450000,0.500000,3,31,0.062,0.0006985048407234525
2,100,45,500,0.450000,0.500000,4,35,0.07,3.004321895584742e-06
2,100,45,500,0.450000,0.500000,5,52,0.104,3.076622524920371e-09
2,100,45,500,0.450000,0.500000,6,44,0.088,7.690594987927436e-13
2,100,45,500,0.450000,0.500000,7,33,0.066,4.749479689935116e-17
2,100,45,500,0.450000,0.500000,8,40,0.08,7.289788864487343e-22
2,100,45,500,0.450000,0.500000,9,32,0.064,2.7889993417492938e-27
2,100,45,500,0.450000,0.500000,10,26,0.052,2.6636976714361037e-33
2,100,45,500,0.450000,0.500000,11,20,0.04,6.35540421925079e-40
2,100,45,500,0.450000,0.500000,12,12,0.024,3.789503753710915e-47
2,100,45,500,0.450000,0.500000,13,12,0.024,5.647834735220679e-55
2,100,45,500,0.450000,0.500000,14,7,0.014,2.1041750337019883e-63
2,100,45,500,0.450000,0.500000,15,9,0.018,1.959755419400041e-72
2,100,45,500,0.450000,0.500000,16,3,0.006,4.5630155956381966e-82
2,100,45,500,0.450000,0.500000,17,2,0.004,2.6560550413981266e-92
2,100,45,500,0.450000,0.500000,18,1,0.002,3.8650908966295844e-103
2,100,45,500,0.450000,0.500000,28,1,0.002,1.267839366090353e-244
2,100,60,500,0.600000,0.500000,0,256,0.512,0.5775761901732048
2,100,60,500,0.600000,0.500000,1,208,0.416,0.3850507934488032
2,100,60,500,0.600000,0.500000,2,29,0.058,0.03667150413798126
2,100,60,500,0.600000,0.500000,3,5,0.01,0.0006985048407234525
2,100,60,500,0.600000,0.500000,4,2,0.004,3.004321895584742e-06
2,100,80,500,0.800000,0.500000,0,296,0.592,0.5775761901732048
2,100,80,500,0.800000,0.500000,1,192,0.384,0.3850507934488032
2,100,80,500,0.800000,0.500000,2,11,0.022,0.03667150413798126
2,100,80,500,0.800000,0.500000,3,1,0.002,0.0006985048407234525
2,100,70,500,0.700000,0.200000,0,275,0.55,0.5775761901732048
2,100,70,500,0.700000,0.200000,1,207,0.414,0.3850507934488032
2,100,70,500,0.700000,0.200000,2,16,0.032,0.03667150413798126
2,100,70,500,0.700000,0.200000,3,2,0.004,0.0006985048407234525
2,100,70,500,0.700000,0.800000,0,296,0.592,0.5775761901732048
2,100,70,500,0.700000,0.800000,1,191,0.382,0.3850507934488032
2,100,70,500,0.700000,0.800000,2,13,0.026,0.03667150413798126
