p,n1,n2,N,alpha,u,partition,count,frequency,conjectured_prob_P_infty_q
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1]",17,0.034,2.7539299239858633e-17
2,100,45,500,0.450000,0.500000,"[3,1,1,1]",2,0.004,2.0983602984226947e-07
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",5,0.01,1.1319253405305237e-72
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",3,0.006,1.2153584888435072e-63
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1]",20,0.04,1.8050411169227482e-09
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1,1]",9,0.018,2.1010817901503473e-22
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1,1,1]",11,0.022,8.046422296838033e-28
2,100,45,500,0.450000,0.500000,[2],13,0.026,0.0721970237716506
2,100,45,500,0.450000,0.500000,"[2,1,1,1]",8,0.016,8.393441193690779e-07
2,100,45,500,0.450000,0.500000,"[3,1,1,1,1]",3,0.006,2.1857919775236404e-10
2,100,45,500,0.450000,0.500000,"[6,1,1,1,1,1,1,1,1,1]",1,0.002,3.0033918917624344e-36
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1]",12,0.024,2.203419332181089e-13
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1,1]",15,0.03,1.6124337440239034e-27
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1]",9,0.018,3.6716264762021295e-40
2,100,45,500,0.450000,0.500000,"[1,1]",28,0.056,0.0240656745905502
2,100,45,500,0.450000,0.500000,"[3,2,1,1,1,1,1,1,1,1,1,1,1]",1,0.002,5.095405314628667e-57
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1]",12,0.024,1.3662074232273617e-17
2,100,45,500,0.450000,0.500000,[],32,0.064,0.5775761901732048
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1]",27,0.054,4.218642653164619e-22
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1,1,1,1]",11,0.022,7.688683242911832e-34
2,100,45,500,0.450000,0.500000,"[1,1,1,1]",24,0.048,1.7906007879873662e-06
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1]",9,0.018,2.1889943410660208e-47
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1]",23,0.046,4.476788484431419e-13
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1,1]",4,0.008,1.6309278764322555e-55
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1]",23,0.046,8.743167910094562e-10
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1]",3,0.006,1.0942299593097357e-47
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1,1,1]",11,0.022,1.5392398124617234e-33
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",4,0.008,5.659453984552562e-73
2,100,45,500,0.450000,0.500000,"[3,1]",5,0.01,0.0022561569928640814
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1,1,1]",3,0.006,6.076421546241204e-64
2,100,45,500,0.450000,0.500000,"[1,1,1]",21,0.042,0.0004297441891169679
2,100,45,500,0.450000,0.500000,[1],49,0.098,0.2887880950866024
2,100,45,500,0.450000,0.500000,"[2,1]",8,0.016,0.009024627971456325
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1]",6,0.012,3.2622539772269653e-55
2,100,45,500,0.450000,0.500000,"[3,1,1,1,1,1,1,1,1]",3,0.006,2.0116055742095083e-28
2,100,45,500,0.450000,0.500000,"[5,2,1,1,1]",1,0.002,1.6009218585378225e-12
2,100,45,500,0.450000,0.500000,"[2,1,1]",9,0.018,0.00018801308273867345
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",3,0.006,2.6355092707185082e-82
