p,n1,n2,N,alpha,u,partition,count,frequency,conjectured_prob_P_infty_q
2,100,45,500,0.450000,0.500000,"[3,1,1,1,1,1,1]",3,0.006,3.4155185580684043e-18
2,100,45,500,0.450000,0.500000,"[3,1,1,1,1,1,1,1,1,1]",1,0.002,1.922170810727958e-34
2,100,45,500,0.450000,0.500000,"[4,1,1,1,1,1,1,1,1,1,1]",1,0.002,1.1468230280739989e-41
2,100,45,500,0.450000,0.500000,"[4,1,1,1,1]",2,0.004,5.464479943809101e-11
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1]",7,0.014,1.8349168449183982e-40
2,100,45,500,0.450000,0.500000,"[3,2,1,1,1,1,1,1,1]",1,0.002,2.5046846749190656e-29
2,100,45,500,0.450000,0.500000,"[2,2,1]",1,0.002,1.175081767116709e-05
2,100,45,500,0.450000,0.500000,"[3,1,1,1,1,1]",3,0.006,5.5085483304527226e-14
2,100,45,500,0.450000,0.500000,"[4,1,1,1,1,1,1,1]",1,0.002,1.3131761188439671e-23
2,100,45,500,0.450000,0.500000,[3],3,0.006,0.01804925594291265
2,100,45,500,0.450000,0.500000,"[3,1,1,1,1,1,1,1,1,1,1]",3,0.006,4.5872921122959955e-41
2,100,45,500,0.450000,0.500000,"[2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,0.002,9.301513271219707e-105
2,100,45,500,0.450000,0.500000,[4],2,0.004,0.004512313985728163
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2,0.004,1.534080003744418e-92
2,100,45,500,0.450000,0.500000,"[3,2,1,1,1]",1,0.002,2.561474973660516e-11
2,100,45,500,0.450000,0.500000,"[3,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,0.002,1.519105386560301e-64
2,100,45,500,0.450000,0.500000,"[2,2,1,1,1,1]",2,0.004,1.7788020650420252e-14
2,100,45,500,0.450000,0.500000,"[3,2,1,1,1,1]",2,0.004,6.670507743907594e-15
2,100,45,500,0.450000,0.500000,"[2,2,1,1,1,1,1,1,1]",2,0.004,6.679159133117508e-29
2,100,45,500,0.450000,0.500000,"[2,2,1,1,1]",2,0.004,6.830599929761376e-11
2,100,45,500,0.450000,0.500000,"[3,2,1,1,1,1,1,1]",1,0.002,6.5145846520774924e-24
2,100,45,500,0.450000,0.500000,"[2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,0.002,3.0511409333260233e-246
2,100,45,500,0.450000,0.500000,"[2,2,1,1,1,1,1]",1,0.002,1.1207170268661951e-18
2,100,45,500,0.450000,0.500000,"[4,2,1,1,1,1]",1,0.002,1.6676269359768985e-15
2,100,45,500,0.450000,0.500000,"[3,2,2,1,1,1]",1,0.002,1.302833543731952e-16
2,100,45,500,0.450000,0.500000,"[4,1,1,1,1,1,1,1,1,1]",2,0.004,4.805427026819895e-35
2,100,45,500,0.450000,0.500000,"[3,1,1,1,1,1,1,1]",2,0.004,5.2527044753758683e-23
2,100,45,500,0.450000,0.500000,"[2,2,1,1]",1,0.002,6.120217537066193e-08
2,100,45,500,0.450000,0.500000,"[3,1,1,1,1,1,1,1,1,1,1,1,1]",1,0.002,4.0773196910806387e-56
2,100,60,500,0.600000,0.500000,[],256,0.512,0.5775761901732048
2,100,60,500,0.600000,0.500000,[2],36,0.072,0.0721970237716506
2,100,60,500,0.600000,0.500000,"[1,1]",22,0.044,0.0240656745905502
2,100,60,500,0.600000,0.500000,"[3,2]",1,0.002,0.00014100981205400509
2,100,60,500,0.600000,0.500000,[1],158,0.316,0.2887880950866024
2,100,60,500,0.600000,0.500000,[3],8,0.016,0.01804925594291265
2,100,60,500,0.600000,0.500000,"[3,1,1]",1,0.002,4.700327068466836e-05
2,100,60,500,0.600000,0.500000,[5],2,0.004,0.0011280784964320407
2,100,60,500,0.600000,0.500000,[4],4,0.008,0.004512313985728163
2,100,60,500,0.600000,0.500000,"[1,1,1]",3,0.006,0.0004297441891169679
2,100,60,500,0.600000,0.500000,"[3,1]",1,0.002,0.0022561569928640814
2,100,60,500,0.600000,0.500000,"[2,1]",5,0.01,0.009024627971456325
2,100,60,500,0.600000,0.500000,"[1,1,1,1]",1,0.002,1.7906007879873662e-06
2,100,60,500,0.600000,0.500000,"[2,1,1]",1,0.002,0.00018801308273867345
2,100,60,500,0.600000,0.500000,"[2,1,1,1]",1,0.002,8.393441193690779e-07
2,100,80,500,0.800000,0.500000,[],296,0.592,0.5775761901732048
2,100,80,500,0.800000,0.500000,[1],144,0.288,0.2887880950866024
2,100,80,500,0.800000,0.500000,[2],33,0.066,0.0721970237716506
2,100,80,500,0.800000,0.500000,[3],12,0.024,0.01804925594291265
2,100,80,500,0.800000,0.500000,"[1,1]",7,0.014,0.0240656745905502
2,100,80,500,0.800000,0.500000,"[2,1]",3,0.006,0.009024627971456325
2,100,80,500,0.800000,0.500000,[4],3,0.006,0.004512313985728163
2,100,80,500,0.800000,0.500000,"[3,1]",1,0.002,0.0022561569928640814
2,100,80,500,0.800000,0.500000,"[2,1,1]",1,0.002,0.00018801308273867345
2,100,70,500,0.700000,0.200000,[1],163,0.326,0.2887880950866024
2,100,70,500,0.700000,0.200000,[],275,0.55,0.5775761901732048
2,100,70,500,0.700000,0.200000,[2],34,0.068,0.0721970237716506
2,100,70,500,0.700000,0.200000,"[3,1,1]",1,0.002,4.700327068466836e-05
2,100,70,500,0.700000,0.200000,"[1,1]",11,0.022,0.0240656745905502
2,100,70,500,0.700000,0.200000,[3],7,0.014,0.01804925594291265
2,100,70,500,0.700000,0.200000,"[3,1]",1,0.002,0.0022561569928640814
2,100,70,500,0.700000,0.200000,"[2,1,1]",1,0.002,0.00018801308273867345
2,100,70,500,0.700000,0.200000,[4],2,0.004,0.004512313985728163
2,100,70,500,0.700000,0.200000,"[2,1]",4,0.008,0.009024627971456325
2,100,70,500,0.700000,0.200000,[5],1,0.002,0.0011280784964320407
2,100,70,500,0.700000,0.800000,[],296,0.592,0.5775761901732048
2,100,70,500,0.700000,0.800000,[1],137,0.274,0.2887880950866024
2,100,70,500,0.700000,0.800000,[3],11,0.022,0.01804925594291265
2,100,70,500,0.700000,0.800000,[2],39,0.078,0.0721970237716506
2,100,70,500,0.700000,0.800000,"[1,1]",9,0.018,0.0240656745905502
2,100,70,500,0.700000,0.800000,"[2,1]",3,0.006,0.009024627971456325
2,100,70,500,0.700000,0.800000,[4],3,0.006,0.004512313985728163
2,100,70,500,0.700000,0.800000,[5],1,0.002,0.0011280784964320407
2,100,70,500,0.700000,0.800000,"[3,1]",1,0.002,0.0022561569928640814
